Project Name,Organization,Station Name,Station #,Station Status,Water Body Id,Water Code,River,Description,Station Type,Aquatic Model Index,RW Watershed,Quadi,Township,Range,Section,Quarter Section,Grid,StationQuad,Wqcc Watershed,HydroUnit,Eco Region,Elevation,Watershed Report,Longitude,Latitude,WS Report,WS Report Data,Utmx,Utmy,County,State,Near City,Region,USGS/DWR Gauge,Gauge Id,State Engineering,Comments
RiverWatch,Steamboat Spgs HS (4),Library,12,NonActive,COUCYA02B,YAMPA RIVER #4 - ELK R to CATAMOUNT DAM,Yampa,"From downtown Steamboat Spgs, travel approx 1/3 mi west on US Hwy 40 to county Rd 33.  Turn left and proceed to first bridge.",Chemical,YP1720,GR,F-19,6N,84W,Yampa,SWSW,D7,Steamboat Springs,Yampa,14050001,S Rockies Low to Middle Elevation Semi-Desert Shru,6699,Yampa and White,-106.8414765,40.48906793,,,343935,4483670,Routt,Colorado,Steamboat Spgs,13N,No,,No,Aq. Index > 200m
RiverWatch,Hayden HS (5),East Br,13,NonActive,COUCYA02B,YAMPA RIVER #3 - ELKHEAD CR to ELK R,Yampa,"From the town of Hayden, travel east approx 5 mi on US Hwy 40 to bridge over Yampa River.",Chemical,YM0015,GR,F-16,6N,87W,Yampa,,D2,Mount Harris,Yampa,14050001,WY Basin Semiarid to Arid Shrublands,6400,Yampa and White,-107.1588668,40.48821212,,,317032,4484185,Routt,Colorado,Hayden,13N,Yes,,No,
RiverWatch,Hayden HS (5),West Br,14,NonActive,COUCYA02B,YAMPA RIVER #3 - ELKHEAD CR to ELK R,Yampa,"From the town of Hayden, travel west of town Hwy 40, pull off to the left past the bridge over the Yampa R. The gravel bar is just beyond the parking lot approx. 2 mi W of town.",Chemical,YP0016,GR,F-15,6N,88W,Yampa,,D3,Hayden,Yampa,14050001,WY Basin Semiarid to Arid Shrublands,6320,Yampa and White,-107.2958741,40.49187595,,,305430,4484885,Routt,Colorado,Hayden,13N,No,,No,
RiverWatch,Smoky Hill High School (262),At Broncos Pkwy,15,NonActive,COSPCH01,CHERRY CREEK #2 - CHERRY CRK RES to E & W CHERRY,Cherry Cr,"Heading south on S Parker Road, turn west and head 1/4 mile on Broncos Parkway.  Sation is at the intersection of Broncos Parkway and Cherry Creek",Sandy Substrate,,SP,,,,Cherry Cr,,,Abarr,Cherry Creek,10190003,W High Plains Moderate Relief Rangeland,5675,"S Platte Tribs not in list,N Platte Main and Tribs",-104.8019481,39.57906517,,,517009,4381058,Arapahoe,Colorado,Greenwood Village,13N,No,,No,
RiverWatch,Steamboat Spgs MS (3),At school,16,Active,COUCYA03,"BUTCHERKNIFE CREEK - YAMPA R #4, NE of Stmboat Spgs",Butcherknife Cr,"A spot on Butcherknife Creek, behind the school, that they can walk to from their classroom on the trail.",Biological,YP0093,CO,,6N,84W,Butcherknife Cr,NWSW,D7,Steamboat Springs,Yampa,14050001,S Rockies Low to Middle Elevation Semi-Desert Shru,6834,Yampa and White,-106.8205,40.4947,,,345726,4484263,Routt,Colorado,Steamboat Springs,13N,No,,No,"6/22/18 - BS completed metadata with note from MT:
Aq. Index > 200m"
Clear Cr,Clear Creek HS (147),Below Gravel Pit,17,NonActive,COSPCL11,CLEAR CREEK #4C - N FK CLEAR CR to CHICAGO CR,Clear Cr,,Chemical,SP6713,SP,,3S,72W,Clear Cr,SESE,F5,Idaho Springs,Clear Creek,10190004,S Rockies Cool and Moist Forests of the Middle to,7189,Clear Cr,-105.4284,39.7411,,,463297,4399108,Clear Creek,Colorado,Idaho Spgs,13N,No,,No,AQ Index <400 Feet
Clear Cr,West Denver Trout Unlimited (382),Above Gravel Pit,18,Active,COSPCL11,CLEAR CREEK #4C - N FK CLEAR CR to CHICAGO CR,Clear Cr,,Chemical,SP0953,SP,,3S,72W,Clear Cr,SESW,F5,Idaho Springs,Clear Creek,10190004,S Rockies Cool and Moist Forests of the Middle to,7193,Clear Cr,-105.430891,39.741638,,,463081,4399171,Clear Creek,Colorado,Idaho Spgs,13N,No,,No,3/12/20 - BS moved fr 463062/4399132 to put on water.
RiverWatch,Evergreen HS (22),Above Lake,19,NonActive,COSPBE01A,BEAR CREEK #3 - EVERGREEN LAKE to HDWTRS,Bear Cr,"From Evergreen Pkwy exit on I-70, take state hwy 74 south approx 7.5 mi to Upper Bear Cr Rd.  Turn west and continue about 1/2 mi to ""Keys on the Green"" parking lot on left.  Station is at south end of lot.",Chemical,SP1045,SP,L-31,5S,71W,Bear Cr,,F3,Evergreen,Bear Creek,10190002,S Rockies Warm and Dry Forests of the Middle to Lo,7080,"S Platte Tribs not in list,N Platte Main and Tribs",-105.3367827,39.63302449,,,471099,4387082,Jefferson,Colorado,Evergreen,13N,Yes,,No,Aq. Index > 200m
RiverWatch,Evergreen HS (22),WWTP,20,NonActive,COSPBE01E,BEAR CREEK #2 - BEAR CRK RES to EVERGREEN LAKE,Bear Cr,"From Evergreen Pkwy exit on I-70, take state hwy 74 south approx 9 mi (through the town of Evergreen) to the Church of Transfiguration.  Station is here, at southeast end of parking lot.",Chemical,SP1046,SP,L-31,5S,71W,Bear Cr,,F3,Evergreen,Bear Creek,10190002,S Rockies Warm and Dry Forests of the Middle to Lo,6960,"S Platte Tribs not in list,N Platte Main and Tribs",-105.3111584,39.63833998,,,473300,4387664,Jefferson,Colorado,Evergreen,13N,No,,No,4/30/14 - BS moved fr COSPBE01B.
RiverWatch,Evergreen HS (22),Kittredge,21,NonActive,COSPBE01E,BEAR CREEK #2 - BEAR CRK RES to EVERGREEN LAKE,Bear Cr,"From downtown Kittredge, travel west on state hwy 74 to Welch Ave.  Turn left and proceed 1 block to Bear Cr.",Chemical,SP1047,SP,L-31,4S,71W,Bear Cr,,F3,Evergreen,Bear Creek,10190002,S Rockies Warm and Dry Forests of the Middle to Lo,6840,"S Platte Tribs not in list,N Platte Main and Tribs",-105.3026759,39.65472515,,,474034,4389480,Jefferson,Colorado,Evergreen,13N,No,,No,
RiverWatch,CPW (0),Ward CR 23,22,NonActive,COSPBD01,"DRY CREEK, BIG #1 - Central Reg bndry to SP R #10",Big Dry Cr,,Sandy Substrate,SP0022,SP,,1N,67W,Big Dry Cr,NWNW,A7,Fort Lupton,Big Dry Creek,10190003,W High Plains Flat to Rolling Cropland,4900,Big Dry Cr,-104.847255,40.02769254,,,513033,4430842,Weld,Colorado,Wattenburg,13N,No,,No,@Wattenburg
RiverWatch,CPW (0),128th Ave,23,NonActive,COSPBD01,"DRY CREEK, BIG #2 - S PLATTE R #9, E of Broomfield",Big Dry Cr,,Sandy Substrate,SP0023,SP,,1S,68W,Big Dry Cr,NWNW,H1,Lafayette,Big Dry Creek,10190003,W High Plains Flat to Rolling Cropland,5183,Big Dry Cr,-105.0103,39.9285,,,499122,4419823,Adams,Colorado,Broomfield,13N,No,,No,5/14/15 - BS moved from 498902/4419163 to put on water at 128th ave.
RiverWatch,CMC-Timberline (281),Above California G,24,NonActive,COARUA02A,"ARKANSAS R, EAST FK - LK FK ARK R to FREMONT PASS",Arkansas,"From junction of US Hwy 24 & state hwy 300 near the town Leadville, travel approx 0.4 mi west on 300 to Arkansas River.  Station is about 100 yards upstream from hwy.",Chemical,AR0524,AK,P-23,9S,80W,Arkansas,,B3,Leadville South,Upper Arkansas,11020001,S Rockies Warm and Dry Forests of the Middle to Lo,9535,Upper Arkansas (Source to Pueblo Res),-106.3562444,39.22255964,,,382927,4342351,Lake,Colorado,Leadville,13N,No,,No,
RiverWatch,CMC-Timberline (281),Below California G,25,NonActive,COARUA02B,"ARKANSAS R, EAST FK - LK FK ARK R to FREMONT PASS",Arkansas,"From junction of US Hwy 24 & state hwy 300 near the town Leadville, travel approx 0.4 mi west on 300 to Arkansas River.  Station is about 100 yards downstream from hwy.",Chemical,AR0524,AK,P-23,9S,80W,Arkansas,,B3,Leadville South,Upper Arkansas,11020001,S Rockies Warm and Dry Forests of the Middle to Lo,9520,Upper Arkansas (Source to Pueblo Res),-106.3560968,39.22150713,,,382938,4342234,Lake,Colorado,Leadville,13N,No,,No,
RiverWatch,McGinnis MS (8),Clark's Br,26,NonActive,COARUA03,ARKANSAS R #9A - CHALK CR to CLEAR CR,Arkansas,"From junction of US Hwys 24 & 285 south of the town Buena Vista, travel approx 0.4 mi east on 24/285 to county Rd 313.  Turn left and continue 2.1 mi before turning right and proceeding 1/4 mi due east to Arkansas River. ",Chemical,,AK,S-25,14S,78W,Arkansas,,G1,Buena Vista East,Upper Arkansas,11020001,S Rockies Low to Middle Elevation Semi-Desert Shru,7920,Upper Arkansas (Source to Pueblo Res),-106.1177872,38.83933353,,,402989,4299541,Chaffee,Colorado,Buena Vista,13N,No,,No,Aq. Index NULL
RiverWatch,Buena Vista HS (9),Otero Pump Sta,27,Active,COARUA03,ARKANSAS R #9A - CHALK CR to CLEAR CR,Arkansas,"From the town of Buena Vista travel north on US Hwy 24 approx 8 mi.  Turn east on CR 371 (Look for the Otero Pump Station sign) to bridge over Arkansas River; sample on east side of the river, just upstream from bridge.",Chemical,AR0526,AK,R-24,12S,79W,Arkansas,,H2,Harvard Lakes,Upper Arkansas,11020001,S Rockies Warm and Dry Forests of the Middle to Lo,8440,Upper Arkansas (Source to Pueblo Res),-106.1992057,38.96094164,,,396100,4313126,Chaffee,Colorado,Buena Vista,13N,No,,No,
RiverWatch,Buena Vista HS (9),Johnsons Village,28,Active,COARUA03,ARKANSAS R #9A - CHALK CR to CLEAR CR,Arkansas,"From junction of US Hwys 24 & 285 south of Buena Vista, travel east approx 1 mi to bridge over Arkansas River.  Station is about 25 yards north of bridge on west bank.",Chemical,AR0527,AK,S-25,14S,78W,Arkansas,,G1,Buena Vista East,Upper Arkansas,11020001,S Rockies Warm and Dry Forests of the Middle to Lo,7800,Upper Arkansas (Source to Pueblo Res),-106.104363,38.81316636,,,404119,4296623,Chaffee,Colorado,Buena Vista,13N,No,,No,
RiverWatch,McGinnis MS (8),Marquard Nature Area,29,NonActive,COARUA12B,"COTTONWOOD CR - ARK R #9A, SW of Buena Vista",Cottonwood Cr,"From junction of US Hwys 24 & 285 south of the town Buena Vista, travel approx 2.4 mi north on 24 to Main St.  Turn right, then right again at Railroad St.  Follow Railroad about 1/2 mi to McGinnis MS; station is on Cottonwood Cr, straight north of school.",Chemical,AR3590,AK,S-24,14S,78W,Cottonwood Cr,NWNW,G2,Buena Vista West,Upper Arkansas,11020001,S Rockies Low to Middle Elevation Semi-Desert Shru,7900,Upper Arkansas (Source to Pueblo Res),-106.1273223,38.8390076,,,402161,4299515,Chaffee,Colorado,Buena Vista,13N,No,,No,6/21/16 - BS moved fr WBID COARUA03.
RiverWatch,Crest Academy (334),Stockyard Br,30,NonActive,COARUA03,ARKANSAS R #6D - BADGER CR to S ARKANSAS R,Arkansas,"From junction of US Hwy 50 & state hwy 291 in the town Salida, travel approx 1.1 mi southeast on 50 to county Rd 102.  Turn left and proceed to first bridge.",Chemical,AR0529,AK,U-26,49N,9E,Arkansas,,E8,Salida East,Upper Arkansas,11020001,S Rockies Low to Middle Elevation Semi-Desert Shru,6990,Upper Arkansas (Source to Pueblo Res),-105.971493,38.51113382,,,415300,4262976,Chaffee,Colorado,Salida,13N,No,,No,
RiverWatch,Buena Vista HS (9),Shavano USGS,31,NonActive,COARUA03,ARKANSAS R #7 - S ARK to BROWNS CANYON OUTLET,Arkansas,"From junction of US Hwy 50 & state hwy 291 in the town Salida, travel northbound 2.1 mi on 291 to county Rd 153.  Turn right and continue 1/10 mi to bridge over Arkansas River.  Station is on south bank.",Chemical,,AK,U-25,50N,9E,Arkansas,,E1,Salida West,Upper Arkansas,11020001,S Rockies Low to Middle Elevation Semi-Desert Shru,7040,Upper Arkansas (Source to Pueblo Res),-106.0060679,38.54450085,,,412326,4266711,Chaffee,Colorado,Salida,13N,No,,No,"Was Salida HS and 412 as Buena Vista, kept 31, combined with 412
Aq. Index NULL"
RiverWatch,Cotopaxi Jr Sr HS (12),Cotopaxi,32,NonActive,COARUA04A,ARKANSAS R #6B - TEXAS CR to COALDALE,Arkansas,"Station is at intersection of US Hwy 50 and county Road 12 in the town of Cotopaxi, on west side of Road 12 bridge.",Chemical,AR0530,AK,W-28,48N,12E,Arkansas,,C6,Cotopaxi,Upper Arkansas,11020001,S Rockies Warm and Dry Forests of the Middle to Lo,6340,Upper Arkansas (Source to Pueblo Res),-105.6890061,38.3712506,,,439813,4247232,Fremont,Colorado,Cotopaxi,13N,No,,No,6/21/16 - BS moved fr WBID COARUA03.
RiverWatch,Canon City HS (14),9th St Br,33,Active,COARUA04A,ARKANSAS R #4 - PUEBLO RES to TEMPLE CANYON,Arkansas,"From Hwy 50, heading west, drive to 9th Street.  Turn South. Go over bridge, turn left on Sell Ave. ~.4 mi.  Park at River Walk parking lot.  Walk East on trail ~.15 mi to first handicap parking.  Look upstream and you will see drainage culvert on the North side of the bank.",Chemical,AR0500,AK,V-32,18S,70W,Arkansas,SWNW,D2,Canon City,Upper Arkansas,11020002,S Rockies Warm and Dry Forests of the Middle to Lo,5300,Upper Arkansas (Source to Pueblo Res),-105.232781,38.43945545,,,479685,4254601,Fremont,Colorado,Canon City,13N,No,,No,"Combined with 205, was Canon City MS.  6/21/16 - BS moved fr WBID COARUA03."
RiverWatch,Canon City HS (14),Parkdale,34,NonActive,COARUA04A,ARKANSAS R #6A - PARKDALE to TEXAS CR,Arkansas,"From the west side of Canon City, travel west 8 mi on US Hwy 50 to bridge crossing the Arkansas River.  Sample at gaging station on north side of bridge.",Chemical,AR0532,AK,V-31,18S,71W,Arkansas,NWNE,D3,Royal Gorge,Upper Arkansas,11020001,S Rockies Warm and Dry Forests of the Middle to Lo,5720,Upper Arkansas (Source to Pueblo Res),-105.374,38.4871,,,467385,4259930,Fremont,Colorado,Canon City,13N,Yes,,No,5/2/12 - BS updt coords.  6/21/16 - BS moved fr WBID COARUA03.
RiverWatch,Canon City HS (14),MacKenzie Br,35,NonActive,COARUA04A,ARKANSAS R #4 - PUEBLO RES to TEMPLE CANYON,Arkansas,"From within Canon City, travel east on US Hwy 50 through town to MacKenzie St (aka Fourmile Rd); turn south and continue 1.7 mi to bridge crossing the Arkansas River.  Sample on the south shore of the river - both above and below the Valco Plant.",Chemical,,AK,V-32,19S,70W,Arkansas,SWNW,D2,Canon City,Upper Arkansas,11020002,S Rockies Warm and Dry Forests of the Middle to Lo,5220,Upper Arkansas (Source to Pueblo Res),-105.1787339,38.42204861,,,484398,4252659,Fremont,Colorado,Canon City,13N,No,,No,"6/21/16 - BS moved fr WBID COARUA03.
Aq. Index NULL"
RiverWatch,Florence HS (15),Portland USGS,36,NonActive,COARUA04B,ARKANSAS R #4 - PUEBLO RES to TEMPLE CANYON,Arkansas,"From junction of state hwys 115 & 120 (east of the town Florence), take 120 approx 3.5 mi east to bridge over Arkansas River.  Station is at RR bridge just upstream.",Chemical,AR3529,AK,,19S,68W,Arkansas,NENE,D1,Florence,Upper Arkansas,11020002,SW Tablelands Grasslands,5037,Upper Arkansas (Source to Pueblo Res),-105.0161,38.3887,,,498594,4248939,Fremont,Colorado,Florence,13N,Yes,,No,"6/21/16 - BS moved fr WBID COARUA03, and fr 498608/4248696 to put on water per Desc.
Aq. Index > 200m"
RiverWatch,Florence HS (15),Union Hill Mill,37,NonActive,COARUA04A,ARKANSAS R #4 - PUEBLO RES to TEMPLE CANYON,Arkansas,"From junction of state hwys 115 & 67 (Main St & Pikes Peak Ave) in the town of Florence, take 67 approx 1/2 mi north to bridge over Arkansas River.",Chemical,AR0499,AK,,19S,69W,Arkansas,NENW,D1,Florence,Upper Arkansas,11020002,SW Tablelands Grasslands,5167,Upper Arkansas (Source to Pueblo Res),-105.11492,38.39919,,,489965,4250113,Fremont,Colorado,Florence,13N,No,,No,6/21/16 - BS moved fr WBID COARUA03.
EAGLE,Battle Mtn HS (17),Above Redcliff,38,NonActive,COUCEA02,EAGLE RIVER #4 - HOMESTAKE CR to E FK EAGLE,Eagle,Station is approx 400 ft downstream from where US Hwy 24 crosses Eagle River within the town of Red Cliff.,Chemical,CR0029,CO,M-22,6S,80W,Eagle,,E4,Minturn,Eagle,14010003,S Rockies Low to Middle Elevation Semi-Desert Shru,8600,Eagle,-106.3774979,39.50831438,,,381576,4374093,Eagle,Colorado,Minturn,13N,No,,No,
EAGLE,Battle Mtn HS (17),County Br,39,NonActive,COUCEA05B,EAGLE RIVER #2 - MILK CR to GORE CR,Eagle,"To reach station from Battle Mtn HS within the town of Minturn, travel south 1/2 mi on Hwy 24 to a small road crossing the Eagle River.  Sample under small road's bridge.",Chemical,CR0052,CO,M-22,5S,81W,Eagle,,E4,Minturn,Eagle,14010003,S Rockies Low to Middle Elevation Semi-Desert Shru,7872,Eagle,-106.4227,39.5818,,,377822,4382312,Eagle,Colorado,Minturn,13N,No,,No,
CrippleCr,Canon City HS (14),4 mile,40,NonActive,COARUA20B,FOURMILE CR #1 - ARKANSAS R #4 to RED CANYON PK,Fourmile Cr,,"Biological, Chemical, Physical",AR2258,AK,,18S,70W,Fourmile Cr,NWNE,D2,Canon City,Upper Arkansas,11020002,SW Tablelands Grasslands,5300,Upper Arkansas (Source to Pueblo Res),-105.1904,38.4446,,,483388,4255158,Fremont,Colorado,Canon City,13N,No,,No,"lat 38.444N
long 105.189W per station information sheet.  6/23/16 - BS moved fr obsolete WBID COARUA20, and moved fr 483512/4255174 to put on water.
Aq. Index > 200m"
EAGLE,Battle Mtn HS (17),Avon,41,NonActive,COUCEA09A,EAGLE RIVER #2 - MILK CR to GORE CR,Eagle,"Depart from I-70 at exit 167 (Avon exit), and travel south approx 0.4 mi to bridge over Eagle River.",Chemical,,CO,L-21,5S,82W,Eagle,NWSE,F5,Edwards,Eagle,14010003,S Rockies Low to Middle Elevation Semi-Desert Shru,7410,Eagle,-106.5227519,39.63232508,,,369321,4388058,Eagle,Colorado,Avon,13N,Yes,,No,Aq. Index NULL
EAGLE,Eagle Valley HS (18),Below Gypsum,42,NonActive,COUCEA09C,EAGLE RIVER #1 - COLO R #4 to MILK CR,Eagle,"From Gypsum town limit, travel west on US Hwy 6 approx 1 mi.  Station is located on north end of sharp bend on Eagle River (on south side of highway).",Chemical,CR4965,CO,L-18,4S,86W,Eagle,,F8,Gypsum,Eagle,14010003,S Rockies Low to Middle Elevation Semi-Desert Shru,6220,Eagle,-106.9788117,39.65503645,,,330236,4391342,Eagle,Colorado,Gypsum,13N,No,,No,Aq. Index > 200m
CrippleCr,Park Center Water District (258),Above Canon Heights ,43,NonActive,COARUA20B,FOURMILE CR #1 - ARKANSAS R #4 to RED CANYON PK,Fourmile Cr,"4 Mile Creek, immediately above Canon Heights / Park Center take out diversion","Biological, Chemical, Physical",AR3522,AK,,17S,70W,Fourmile Cr,NWSW,E2,Cooper Mountain,Upper Arkansas,11020002,S Rockies Warm and Dry Forests of the Middle to Lo,5600,Upper Arkansas (Source to Pueblo Res),-105.217225,38.52888575,,,481066,4264521,Fremont,Colorado,Canon City,13N,No,,No,"Lat 38-31-44; Long 105-13-05.  6/23/16 - BS moved fr obsolete WBID COARUA20.
Aq. Index > 200m"
Animasbaseline,CPW (0),Abv Conf Animas,44,Active,COSJAF14B,LIGHTNER CREEK #1 - ANIMAS R to END of RD 207,Lightner Cr,,"Chemical, Physical",SJ0127,SJ,,35N,9W,Lightner Cr,SENE,C8,Durango West,"Animas, Florida",14080104,NM AZ Shrublands,6487,Animas,-107.886737,37.268407,,,244026,4128555,La Plata,Colorado,Durango,13N,No,,No,1/24/14 - BS mod Lat/Lon and TRS  4/2/20 - BS moved fr 243990/4128489 to put on Lightner Cr.
RFCon,Glenwood Spgs HS (21),7th St Br,45,Active,COUCRF03C,ROARING FORK R #1 - COLO R #4 to CARBONDALE,Roaring Fk,"At Glenwood Spgs exit off I-70, turn right at the traffic light (onto 6th St).  Then turn right at Grand Ave, right at 8th St, right on Colorado Ave, and left on 7th St.  Follow 7th approx 1/4 mi to bridge over Roaring Fork River.",Chemical,CR0057,CO,M-15,6S,89W,Roaring Fk,,E3,Glenwood Springs,Roaring Fork,14010004,CO Plateaus Desert Shrublands,5720,Roaring Fork,-107.3304035,39.54677261,,,299758,4380049,Garfield,Colorado,Glenwood Spgs,13N,No,,No,
RFCon,Glenwood Spgs HS (21),Ped Br,46,Active,COUCUC03,COLORADO RIVER # 4A - ROARING FK R to EAGLE RIVER,Colorado,"At Glenwood Spgs exit off I-70, turn right at the traffic light (onto 6th St).  Then turn right at Grand Ave, left at 8th St, left at Cooper Ave, left at 7th St; then immediately park.  Station is at base of pedestrian bridge just to the north.",Chemical,CR0058,CO,M-15,6S,89W,Colorado,NESE,E3,Glenwood Springs,Lower Colorado,14010001,CO Plateaus Desert Shrublands,5720,Middle Colorado (Eagle R conf to Palisade),-107.3243404,39.54815535,,,300283,4380189,Garfield,Colorado,Glenwood Spgs,13N,Yes,,No,7/8/13 - BS moved WBID from COLCLC01.
